url	first_seen	portal	title	company	status	location	fingerprint	posted_at	trust_score	trust_flags	normalized_company
https://job-boards.greenhouse.io/gitlab/jobs/8695815002	2026-09-07	greenhouse-api	Senior Backend Engineer (Ruby on Rails), Plan: Planning Views	GitLab	added	Bangalore, India	d1fe6a887af36869	2026-08-20			gitlab
https://job-boards.greenhouse.io/gitlab/jobs/8749950002	2026-09-07	greenhouse-api	Senior Backend Engineer (Ruby), Plan: Spec-Driven Development	GitLab	added	Remote, Poland	49d14260a1a26dcf	2026-08-26			gitlab
https://job-boards.greenhouse.io/gitlab/jobs/8721124002	2026-09-07	greenhouse-api	Senior Software Engineer	GitLab	added	Bangalore, India	e1f651dc2ab7e3c5	2026-08-24			gitlab
https://job-boards.greenhouse.io/gitlab/jobs/8738225002	2026-09-07	greenhouse-api	Senior Software Engineer (Ruby), Security Platform: Authorization	GitLab	added	Remote, Canada; Remote, Israel; Remote, United Kingdom; Remote, United States	a9f39d0ae728adcd	2026-09-02			gitlab
https://job-boards.greenhouse.io/gitlab/jobs/8749952002	2026-09-07	greenhouse-api	Senior Software Engineer (Typescript), AI Clients: Duo CLI	GitLab	added	Remote, Poland	cbd7d85021b881ef	2026-08-26			gitlab
https://job-boards.greenhouse.io/gitlab/jobs/8773381002	2026-09-07	greenhouse-api	Staff Backend Engineer, AMER	GitLab	added	Remote, Canada; Remote, United States	e8734dc06b3fe7cd	2026-09-02			gitlab
https://job-boards.greenhouse.io/gitlab/jobs/8716271002	2026-09-07	greenhouse-api	Staff Backend Engineer - Database Change Management	GitLab	added	Bangalore, India	3dfacbf30e61c9a3	2026-08-24			gitlab
https://job-boards.greenhouse.io/gitlab/jobs/8775039002	2026-09-07	greenhouse-api	Staff Backend Engineer, EMEA	GitLab	added	Remote, United Kingdom	e8734dc06b3fe7cd	2026-09-02			gitlab
https://job-boards.greenhouse.io/gitlab/jobs/8777342002	2026-09-07	greenhouse-api	Staff Backend Engineer, EMEA	GitLab	added	Remote, Poland	e8734dc06b3fe7cd	2026-09-02			gitlab
https://job-boards.greenhouse.io/gitlab/jobs/8775136002	2026-09-07	greenhouse-api	Staff Backend Engineer, India	GitLab	added	Bangalore, India	e8734dc06b3fe7cd	2026-09-02			gitlab
https://job-boards.greenhouse.io/gitlab/jobs/8739391002	2026-09-07	greenhouse-api	Staff Fullstack Engineer (Ruby/Vue.js) Monetization Engineering: Purchase	GitLab	added	Remote, Canada; Remote, United States	7b75d3aba4b30ced	2026-09-01			gitlab
https://job-boards.greenhouse.io/gitlab/jobs/8632446002	2026-09-07	greenhouse-api	Staff Software Engineer	GitLab	added	Bangalore, India	e9f2d2dc2a33a6e3	2026-08-24			gitlab
https://www.coinbase.com/careers/positions/8174949?gh_jid=8174949	2026-09-07	greenhouse-api	Senior Software Engineer, Agent Verification	Coinbase	added	Remote - USA	ab15060993100c69	2026-09-03			coinbase
https://www.coinbase.com/careers/positions/8146039?gh_jid=8146039	2026-09-07	greenhouse-api	Senior Software Engineer (Platform - Access & Authorization)	Coinbase	added	Remote - USA	b85790c8955bec4e	2026-08-21			coinbase
https://www.coinbase.com/careers/positions/8103569?gh_jid=8103569	2026-09-07	greenhouse-api	Senior Software Engineer, Simple Trade Experience	Coinbase	added	Remote - USA	6a5e7c5083e40e26	2026-08-18			coinbase
https://www.coinbase.com/careers/positions/8162240?gh_jid=8162240	2026-09-07	greenhouse-api	Senior Staff Software Engineer, Finhub	Coinbase	added	Remote - Canada	d957a650057042f2	2026-09-01			coinbase
https://www.coinbase.com/careers/positions/8162237?gh_jid=8162237	2026-09-07	greenhouse-api	Senior Staff Software Engineer, Finhub	Coinbase	added	Remote - USA	c9579650855043e2	2026-09-01			coinbase
https://www.coinbase.com/careers/positions/8179210?gh_jid=8179210	2026-09-07	greenhouse-api	Senior Staff Software Engineer, Institutional Exchange	Coinbase	added	Remote - USA	8a248a5885d20ef6	2026-09-04			coinbase
https://www.coinbase.com/careers/positions/8154983?gh_jid=8154983	2026-09-07	greenhouse-api	Staff Software Engineer, Backend - Platform (Core AI Automation)	Coinbase	added	Remote - USA	ea5be8c229b8e08a	2026-08-24			coinbase
https://www.coinbase.com/careers/positions/8160557?gh_jid=8160557	2026-09-07	greenhouse-api	Staff Software Engineer, Compute Platform (Routing)	Coinbase	added	Remote - USA	8357e88aab97c28c	2026-08-27			coinbase
https://www.coinbase.com/careers/positions/8170956?gh_jid=8170956	2026-09-07	greenhouse-api	Staff Software Engineer, Developer Infrastructure	Coinbase	added	Remote - USA	227da64ee6864eeb	2026-09-01			coinbase
https://www.coinbase.com/careers/positions/8166218?gh_jid=8166218	2026-09-07	greenhouse-api	Staff Software Engineer, Enterprise Apps	Coinbase	added	Remote - USA	8902a083adbecc89	2026-08-31			coinbase
https://www.coinbase.com/careers/positions/8167571?gh_jid=8167571	2026-09-07	greenhouse-api	Staff Software Engineer, Security Platform	Coinbase	added	Remote - India	4057aac2c3456443	2026-08-31			coinbase
https://www.coinbase.com/careers/positions/8177619?gh_jid=8177619	2026-09-07	greenhouse-api	Threat Intelligence Platform Engineer	Coinbase	added	Remote - USA	8a53e842ab73402b	2026-09-03			coinbase
https://jobs.smartrecruiters.com/freshworks/744000146933519-senior-software-engineer-full-stack	2026-09-07	smartrecruiters-api	Senior Software Engineer - Full Stack	Freshworks	added	Chennai, , India					freshworks
https://jobs.smartrecruiters.com/freshworks/744000145418549-lead-software-engineer-machine-learning	2026-09-07	smartrecruiters-api	Lead Software Engineer - Machine Learning	Freshworks	added	Chennai, TN, India					freshworks
